AAM,exp_activation_energy
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[Cl:20])[O-:3].[S-:8][C:9]1=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[S:8][C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[O-:3].[Cl-:20],19.77
[O:22]=[N+:21]([C:20]1=[CH:19][C:14]([C:15]([F:17])([F:18])[F:16])=[CH:13][C:9]([N+:10]([O-:12])=[O:11])=[C:8]1[Cl:25])[O-:23].[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([NH2:7])=[CH:24]1>>[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([NH:7][C:8]2=[C:9]([CH:13]=[C:14]([CH:19]=[C:20]2[N+:21]([O-:23])=[O:22])[C:15]([F:17])([F:18])[F:16])[N+:10]([O-:12])=[O:11])=[CH:24]1.[ClH:25],20.69
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([C:10]2=[N:11][O:12][N:13]=[C:14]12)[N+:7]([O-:9])=[O:8].[CH3:15][C:16]1=[CH:17][CH:18]=[C:19]([CH:21]=[CH:22]1)[NH2:20]>>[CH3:15][C:16]1=[CH:17][CH:18]=[C:19]([CH:21]=[CH:22]1)[NH:20][C:3]2=[CH:4][CH:5]=[C:6]([C:10]3=[N:11][O:12][N:13]=[C:14]23)[N+:7]([O-:9])=[O:8].[CH3:1][OH:2],22.0
[O:2]=[N+:3]([C:5]1=[CH:6][C:7]([Cl:8])=[CH:9][CH:10]=[C:11]1[Cl:1])[O-:4].[CH3:12][O-:13]>>[CH3:12][O:13][C:11]1=[CH:10][CH:9]=[C:7]([CH:6]=[C:5]1[N+:3]([O-:4])=[O:2])[Cl:8].[Cl-:1],25.27
[O:9]=[N+:8]([C:7]1=[CH:6][CH:5]=[C:4]([CH:12]=[CH:11]1)[F:13])[O-:10].[N-:1]=[N+:2]=[N-:3]>>[N-:1]=[N+:2]=[N:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N+:8]([O-:10])=[O:9].[F-:13],21.89
[O:9]=[N+:8]([C:7]1=[CH:6][CH:5]=[C:4]([CH:12]=[CH:11]1)[F:13])[O-:10].[N-:1]=[N+:2]=[N-:3]>>[N-:1]=[N+:2]=[N:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N+:8]([O-:10])=[O:9].[F-:13],21.86
[O:9]=[N+:8]([C:7]1=[CH:6][CH:5]=[C:4]([CH:12]=[CH:11]1)[F:13])[O-:10].[N-:1]=[N+:2]=[N-:3]>>[N-:1]=[N+:2]=[N:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N+:8]([O-:10])=[O:9].[F-:13],22.52
[O:2]=[N+:3]([C:5]1=[CH:6][C:7]([N+:8]([O-:10])=[O:9])=[C:11]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[Cl:1])[O-:4].[CH3:18][O:19][C:20]1=[CH:21][CH:22]=[C:23]([CH:25]=[CH:26]1)[NH2:24]>>[CH3:18][O:19][C:20]1=[CH:21][CH:22]=[C:23]([CH:25]=[CH:26]1)[NH:24][C:11]2=[C:7]([CH:6]=[C:5]([CH:17]=[C:12]2[C:13]([F:15])([F:16])[F:14])[N+:3]([O-:4])=[O:2])[N+:8]([O-:10])=[O:9].[ClH:1],19.3
[O:11]=[N+:10]([C:9]1=[CH:8][CH:7]=[C:6]([C:14]([N+:15]([O-:17])=[O:16])=[CH:13]1)[F:18])[O-:12].[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6]1=[CH:7][CH:8]=[C:9]([CH:13]=[C:14]1[N+:15]([O-:17])=[O:16])[N+:10]([O-:12])=[O:11].[FH:18],16.13
[O:11]=[N+:10]([C:9]1=[CH:8][CH:7]=[C:6]([N:14]=[CH:13]1)[O:15][C:16]2=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]2)[O-:12].[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6]1=[CH:7][CH:8]=[C:9]([CH:13]=[N:14]1)[N+:10]([O-:12])=[O:11].[OH:15][C:16]1=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]1,22.04
[F:2][C:3]1=[C:4]([N:6]=[C:7]([C:9]([F:10])=[C:11]1[F:12])[Cl:8])[Cl:5].[NH3:1]>>[NH2:1][C:11]1=[C:9]([C:7]([Cl:8])=[N:6][C:4]([Cl:5])=[C:3]1[F:2])[F:10].[FH:12],21.77
[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[CH:15][N:16]=[C:17]1[Cl:18])[O-:11].[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([O-:7])=[CH:8]1>>[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([O:7][C:17]2=[N:16][CH:15]=[CH:14][CH:13]=[C:12]2[N+:10]([O-:11])=[O:9])=[CH:8]1.[Cl-:18],23.83
[O:23]=[N+:22]([C:21]1=[CH:20][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:14][C:10]([N+:11]([O-:13])=[O:12])=[C:9]1[Cl:26])[O-:24].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH2:8])=[CH:25]1>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH:8][C:9]2=[C:10]([CH:14]=[C:15]([CH:20]=[C:21]2[N+:22]([O-:24])=[O:23])[C:16]([F:18])([F:19])[F:17])[N+:11]([O-:13])=[O:12])=[CH:25]1.[ClH:26],21.09
[O:23]=[N+:22]([C:21]1=[CH:20][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:14][C:10]([N+:11]([O-:13])=[O:12])=[C:9]1[Cl:26])[O-:24].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH2:8])=[CH:25]1>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH:8][C:9]2=[C:10]([CH:14]=[C:15]([CH:20]=[C:21]2[N+:22]([O-:24])=[O:23])[C:16]([F:18])([F:19])[F:17])[N+:11]([O-:13])=[O:12])=[CH:25]1.[ClH:26],21.03
[Cl:8][C:9]1=[N:10][CH:11]=[N:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[C:18]12.[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[C:2]1([NH:1][C:9]2=[N:10][CH:11]=[N:12][C:13]3=[CH:14][CH:15]=[CH:16][CH:17]=[C:18]23)=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1.[ClH:8],18.0
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:17])[O-:3].[NH2:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([Cl:24])=[CH:25]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[NH:18][C:19]2=[CH:20][CH:21]=[CH:22][C:23]([Cl:24])=[CH:25]2)[O-:3].[ClH:17],23.03
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:14]1[CH2:15][NH2+:16][CH2:17][CH2:18][NH:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:19]2[CH2:14][CH2:15][NH2+:16][CH2:17][CH2:18]2)[O-:3].[FH:8],23.41
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[F:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[FH:16],26.94
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[F:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[FH:16],25.38
[F:1][C:2]1=[N:3][N:4]=[C:5]([C:7]([F:8])=[C:9]1[F:10])[F:6].[NH3:11]>>[NH2:11][C:7]1=[C:5]([N:4]=[N:3][C:2]([F:1])=[C:9]1[F:10])[F:6].[FH:8],19.6
[CH3:1][CH2:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Br:8].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[CH3:1][CH2:2][O:3][C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2.[BrH:8],23.36
[CH3:1][O:2][C:3]1=[C:10]([S:11]([CH3:12])(=[O:13])=[O:14])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:15]1[CH2:16][CH2:17][NH:18][CH2:19][CH2:20]1>>[CH3:12][S:11](=[O:13])([C:10]1=[C:3]([N:18]2[CH2:17][CH2:16][CH2:15][CH2:20][CH2:19]2)[S:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9]1)=[O:14].[CH3:1][OH:2],18.62
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[Cl:8])[O-:3].[CH2:19]1[CH2:18][O:17][CH2:16][CH2:15][NH:14]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[N:14]3[CH2:15][CH2:16][O:17][CH2:18][CH2:19]3)[O-:3].[ClH:8],17.25
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]2)[Cl:15])=[N:21]1.[O-:22][C:23]1=[CH:24][CH:25]=[CH:26][CH:27]=[C:28]1[Cl:29]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:22][C:23]2=[CH:24][CH:25]=[CH:26][CH:27]=[C:28]2[Cl:29])=[N:21]1.[O:18]=[N+:17]([C:16]1=[CH:20][C:11]([O-:10])=[CH:12][CH:13]=[C:14]1[Cl:15])[O-:19],21.66
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:18][C:19]2=[CH:20][CH:21]=[C:22]([C:24]([N+:25]([O-:27])=[O:26])=[CH:28]2)[Cl:23])=[N:17]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)=[N:17]1.[O:26]=[N+:25]([C:24]1=[CH:28][C:19]([O-:18])=[CH:20][CH:21]=[C:22]1[Cl:23])[O-:27],19.99
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[CH2:14]1[CH2:13][CH2:12][NH:11][CH2:16][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[N:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[O-:3].[FH:8],24.62
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[CH2:14]1[CH2:13][CH2:12][NH:11][CH2:16][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[N:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[O-:3].[FH:8],21.24
[CH3:1][O:2][C:3]1=[C:10]([N+:11]([O-:13])=[O:12])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[O:7]=[N+:6]([C:5]1=[CH:9][C:10]([N+:11]([O-:13])=[O:12])=[C:3]([S:4]1)[N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[O-:8].[CH3:1][OH:2],16.91
[N:16]#[C:15][C:14]1=[CH:13][C:9]([N+:10]([O-:12])=[O:11])=[C:8]([C:18]([N+:19]([O-:21])=[O:20])=[CH:17]1)[Cl:24].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:22]=[CH:23]1)[CH2:6][NH2:7]>>[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:22]=[CH:23]1)[CH2:6][NH:7][C:8]2=[C:9]([CH:13]=[C:14]([CH:17]=[C:18]2[N+:19]([O-:21])=[O:20])[C:15]#[N:16])[N+:10]([O-:12])=[O:11].[ClH:24],16.2
[N:16]#[C:15][C:14]1=[CH:13][C:9]([N+:10]([O-:12])=[O:11])=[C:8]([C:18]([N+:19]([O-:21])=[O:20])=[CH:17]1)[Cl:24].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:22]=[CH:23]1)[CH2:6][NH2:7]>>[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:22]=[CH:23]1)[CH2:6][NH:7][C:8]2=[C:9]([CH:13]=[C:14]([CH:17]=[C:18]2[N+:19]([O-:21])=[O:20])[C:15]#[N:16])[N+:10]([O-:12])=[O:11].[ClH:24],17.76
[F:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[C:10]1[F:11])[Cl:7].[CH3:12][CH2:13][NH:14][CH2:15][CH3:16]>>[CH3:12][CH2:13][N:14]([C:8]1=[C:10]([C:2]([F:1])=[N:3][C:4]([F:5])=[C:6]1[Cl:7])[F:11])[CH2:15][CH3:16].[FH:9],21.53
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH2:16]1[CH2:15][NH:14][CH2:19][CH2:18][NH:17]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:14]2[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]2)[O-:3].[ClH:8],19.55
[O:4]=[N+:5]([C:7]1=[CH:8][CH:9]=[C:10]([CH:12]=[CH:13]1)[F:11])[O-:6].[N-:1]=[N+:2]=[N-:3]>>[N-:1]=[N+:2]=[N:3][C:10]1=[CH:9][CH:8]=[C:7]([CH:13]=[CH:12]1)[N+:5]([O-:6])=[O:4].[F-:11],27.23
[Cl:1][C:2]1=[N:3][C:4]([Cl:5])=[C:6]([C:8]([Cl:9])=[C:10]1[Cl:11])[Cl:7].[NH3:12]>>[NH2:12][C:8]1=[C:10]([C:2]([Cl:1])=[N:3][C:4]([Cl:5])=[C:6]1[Cl:7])[Cl:11].[ClH:9],26.65
[F:14][C:13]1=[CH:12][C:10]([F:11])=[C:9]2[C:7]([F:8])=[C:5]([CH:4]=[C:3]([C:17]2=[C:15]1[F:16])[F:18])[F:6].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][C:5]([F:6])=[C:7]([C:9]2=[C:10]([CH:12]=[C:13]([C:15]([F:16])=[C:17]12)[F:14])[F:11])[F:8].[F-:18],26.14
[O:11]=[N+:12]([C:14]1=[CH:15][CH:16]=[C:17]([C:18]([N+:19]([O-:21])=[O:20])=[CH:22]1)[Cl:10])[O-:13].[CH3:1][CH:2]([CH2:4][NH:5][CH2:6][CH:7]([CH3:9])[CH3:8])[CH3:3]>>[CH3:1][CH:2]([CH2:4][N:5]([C:17]1=[CH:16][CH:15]=[C:14]([CH:22]=[C:18]1[N+:19]([O-:21])=[O:20])[N+:12]([O-:13])=[O:11])[CH2:6][CH:7]([CH3:9])[CH3:8])[CH3:3].[ClH:10],23.19
[F:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[C:10]1[Cl:11])[Cl:7].[NH3:12]>>[NH2:12][C:8]1=[C:10]([C:2]([F:1])=[N:3][C:4]([F:5])=[C:6]1[Cl:7])[Cl:11].[FH:9],20.59
[O:1]=[C:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Br:8])[O-:3].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[O:1]=[C:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[O-:3].[BrH:8],20.33
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:19]1[CH2:18][O:17][CH2:16][CH2:15][NH:14]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:14]2[CH2:15][CH2:16][O:17][CH2:18][CH2:19]2)[O-:3].[FH:8],17.9
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:19]1[CH2:18][O:17][CH2:16][CH2:15][NH:14]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:14]2[CH2:15][CH2:16][O:17][CH2:18][CH2:19]2)[O-:3].[FH:8],15.72
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][CH:12]=[C:13]1[F:14])[O-:3].[CH2:18]1[CH2:17][CH2:16][NH:15][CH2:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][CH:12]=[C:13]1[N:15]2[CH2:16][CH2:17][CH2:18][CH2:19]2)[O-:3].[FH:14],16.47
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([N:15]=[CH:16]1)[Cl:17])[O-:10].[O-:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([N:15]=[CH:16]1)[O:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)[O-:10].[Cl-:17],22.67
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([N+:13]([O-:15])=[O:14])=[CH:16]1)[Cl:11])[O-:3].[CH3:17][O:18][C:19]1=[CH:20][CH:21]=[C:22]([CH:25]=[CH:26]1)[CH2:23][NH2:24]>>[CH3:17][O:18][C:19]1=[CH:20][CH:21]=[C:22]([CH:25]=[CH:26]1)[CH2:23][NH:24][C:10]2=[C:6]([CH:5]=[C:4]([CH:16]=[C:12]2[N+:13]([O-:15])=[O:14])[N+:2]([O-:3])=[O:1])[N+:7]([O-:9])=[O:8].[ClH:11],15.29
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[S-:14][C:15]1=[CH:16][CH:17]=[CH:18][C:19]([Br:20])=[CH:21]1>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[S:14][C:15]2=[CH:16][CH:17]=[CH:18][C:19]([Br:20])=[CH:21]2)[O-:4].[Cl-:1],20.44
[O:6]=[N+:7]([C:9]1=[CH:10][C:11]([C:12]([F:14])([F:15])[F:13])=[CH:16][CH:17]=[C:18]1[Cl:19])[O-:8].[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:18]1=[CH:17][CH:16]=[C:11]([CH:10]=[C:9]1[N+:7]([O-:8])=[O:6])[C:12]([F:14])([F:15])[F:13].[ClH:19],23.08
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH2:14]1[CH2:15][O:16][CH2:17][CH2:18][NH:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:19]2[CH2:18][CH2:17][O:16][CH2:15][CH2:14]2)[O-:3].[ClH:8],20.67
[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]2=[N:17][O:18][N:19]=[C:20]12)[Cl:8])[O-:11].[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]2=[N:17][O:18][N:19]=[C:20]12)[NH:1][C:2]3=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]3)[O-:11].[ClH:8],22.37
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[F:22])[O-:3].[OH:14][CH2:13][CH2:12][N:11]1[CH2:10][CH2:9][NH:8][CH2:16][CH2:15]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[N:8]2[CH2:9][CH2:10][N:11]([CH2:15][CH2:16]2)[CH2:12][CH2:13][OH:14])[O-:3].[FH:22],17.21
[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([Cl:15])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[O-:17][CH2:18][C:19]([Cl:21])([Cl:22])[Cl:20]>>[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([O:17][CH2:18][C:19]([Cl:21])([Cl:22])[Cl:20])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[Cl-:15],18.36
[F:15][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:11]([F:12])=[C:13]1[F:14])[C:7]([F:9])([F:10])[F:8].[NH3:1]>>[NH2:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:11]([F:12])=[C:13]1[F:14])[C:7]([F:9])([F:10])[F:8].[FH:15],19.57
[CH3:1][O:2][C:3]1=[C:4]([CH:12]=[C:13]([CH:17]=[C:18]1[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[CH3:26][O:27][C:28]1=[CH:29][CH:30]=[C:31]([CH:33]=[CH:34]1)[NH2:32]>>[CH3:26][O:27][C:28]1=[CH:29][CH:30]=[C:31]([CH:33]=[CH:34]1)[NH:32][C:3]2=[C:4]([CH:12]=[C:13]([CH:17]=[C:18]2[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[CH3:1][OH:2],18.82
[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[Br:15])[O-:10].[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[NH:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)[O-:10].[BrH:15],23.95
[CH3:1][O:2][C:3]1=[C:10]([C:11]#[N:12])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:16]1[CH2:15][CH2:14][NH:13][CH2:18][CH2:17]1>>[N:12]#[C:11][C:10]1=[C:3]([N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[S:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9]1.[CH3:1][OH:2],16.26
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[NH2:14][C:15]1=[CH:16][CH:17]=[CH:18][C:19]([Br:20])=[CH:21]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[NH:14][C:15]2=[CH:16][CH:17]=[CH:18][C:19]([Br:20])=[CH:21]2)[O-:3].[ClH:8],25.82
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9][CH:10]=[C:11]1[F:12].[CH2:16]1[CH2:15][CH2:14][NH:13][CH2:18][CH2:17]1>>[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9][CH:10]=[C:11]1[N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2.[FH:12],17.88
[O:17]=[N+:16]([C:15]1=[CH:14][C:9]([C:10]([F:12])([F:13])[F:11])=[CH:8][CH:7]=[C:6]1[O:19][C:20]2=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]2)[O-:18].[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6]1=[CH:7][CH:8]=[C:9]([CH:14]=[C:15]1[N+:16]([O-:18])=[O:17])[C:10]([F:12])([F:13])[F:11].[OH:19][C:20]1=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]1,19.63
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:8])[O-:3].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[O-:3].[FH:8],14.185
